tempo_ns,elevador,evento,andar,estado,pronto
66385,E3,MOVIMENTO,2,1,0
66835,E1,ATENDIMENTO,14,2,1
66965,E2,ATENDIMENTO,2,1,1
66985,E2,ESTADO,2,2,0
67255,E1,MOVIMENTO,13,2,0
67385,E2,MOVIMENTO,1,2,0
67385,E3,MOVIMENTO,3,1,0
67835,E1,ATENDIMENTO,13,2,1
67965,E2,ATENDIMENTO,1,2,1
67985,E2,ESTADO,1,1,0
68255,E1,MOVIMENTO,12,2,0
68385,E2,MOVIMENTO,2,1,0
68385,E3,MOVIMENTO,4,1,0
68835,E1,ATENDIMENTO,12,2,1
68965,E2,ATENDIMENTO,2,1,1
68985,E2,ESTADO,2,2,0
69255,E1,MOVIMENTO,11,2,0
69385,E2,MOVIMENTO,1,2,0
69385,E3,MOVIMENTO,5,1,0
69835,E1,ATENDIMENTO,11,2,1
69965,E2,ATENDIMENTO,1,2,1
69985,E2,ESTADO,1,1,0
70255,E1,MOVIMENTO,10,2,0
70385,E2,MOVIMENTO,2,1,0
70385,E3,MOVIMENTO,6,1,0
70835,E1,ATENDIMENTO,10,2,1
70855,E1,ESTADO,10,1,0
70965,E2,ATENDIMENTO,2,1,1
70985,E2,ESTADO,2,2,0
71255,E1,MOVIMENTO,11,1,0
71385,E2,MOVIMENTO,1,2,0
71385,E3,MOVIMENTO,7,1,0
71835,E1,ATENDIMENTO,11,1,1
71965,E2,ATENDIMENTO,1,2,1
71985,E2,ESTADO,1,1,0
72255,E1,MOVIMENTO,12,1,0
72385,E2,MOVIMENTO,2,1,0
72385,E3,MOVIMENTO,8,1,0
72835,E1,ATENDIMENTO,12,1,1
72965,E2,ATENDIMENTO,2,1,1
72965,E3,ATENDIMENTO,8,1,1
72985,E2,ESTADO,2,2,0
73255,E1,MOVIMENTO,13,1,0
73385,E2,MOVIMENTO,1,2,0
73385,E3,MOVIMENTO,9,1,0
73425,E3,ESTADO,9,2,0
73835,E1,ATENDIMENTO,13,1,1
73965,E2,ATENDIMENTO,1,2,1
73985,E2,ESTADO,1,1,0
74255,E1,MOVIMENTO,14,1,0
74385,E2,MOVIMENTO,2,1,0
74385,E3,MOVIMENTO,8,2,0
